iter	Logloss
0	0.6873569928
1	0.6827282909
2	0.678162794
3	0.6736821588
4	0.6698189981
5	0.6666731551
6	0.6636581528
7	0.6607686382
8	0.6588101444
9	0.6567634726
10	0.6550211876
11	0.6533321218
12	0.6518114838
13	0.6504538514
14	0.6490930948
15	0.6480424456
16	0.6469624411
17	0.6459989781
18	0.6450541221
19	0.6441621067
20	0.6429364346
21	0.6421035351
22	0.6413699243
23	0.6405090716
24	0.6397913327
25	0.6390760783
26	0.6381580665
27	0.6375877599
28	0.6370208122
29	0.636441602
30	0.6359055184
31	0.6353830675
32	0.6349001817
33	0.6343201078
34	0.6339939685
35	0.6336718812
36	0.6332424545
37	0.6322523286
38	0.6318215797
39	0.6314089473
40	0.6309894106
41	0.6305479187
42	0.6302884766
43	0.6300488518
44	0.6297556932
45	0.6294592398
46	0.6291473357
47	0.6288560325
48	0.6285991282
49	0.6282545472
50	0.6279984533
51	0.6277396457
52	0.6274241002
53	0.6271394667
54	0.6269167428
55	0.6267054283
56	0.6264201763
57	0.6260989207
58	0.625917404
59	0.6257605296
60	0.6255110735
61	0.6252607696
62	0.6248299514
63	0.6247135751
64	0.6244906166
65	0.6242163423
66	0.6240713731
67	0.6238178011
68	0.6237059299
69	0.6235759743
70	0.6233812088
71	0.6232487314
72	0.6230958716
73	0.6228782659
74	0.6226738077
75	0.6225055079
76	0.6223476525
77	0.6218770718
78	0.621726334
79	0.6216533402
80	0.6215149768
81	0.6213437126
82	0.6211961524
83	0.621045889
84	0.6209520491
85	0.6208069306
86	0.6206744425
87	0.6205936115
88	0.6203689149
89	0.6201418457
90	0.6198944102
91	0.619726393
92	0.6196446022
93	0.6195228785
94	0.619388599
95	0.6193036786
96	0.6192363736
97	0.6191321212
98	0.6189555096
99	0.6188461282
100	0.6187650199
101	0.618670199
102	0.6184613423
103	0.6183807832
104	0.6181748375
105	0.6179960026
106	0.6178646607
107	0.6177268625
108	0.6175009023
109	0.6173448116
110	0.6172700371
111	0.6171551804
112	0.617011768
113	0.6169066093
114	0.6168886474
115	0.6167663798
116	0.6165850764
117	0.6165010518
118	0.6164361939
119	0.6163515242
120	0.6162071468
121	0.616169309
122	0.6161014176
123	0.616021994
124	0.6158454303
125	0.6157083838
126	0.6156060987
127	0.6154947874
128	0.6154172406
129	0.6152925471
130	0.6151852025
131	0.6150849594
132	0.6149238837
133	0.6148101839
134	0.6145822031
135	0.6145184382
136	0.6144637848
137	0.614238651
138	0.6140737314
139	0.6140129201
140	0.6138576878
141	0.6137694406
142	0.6136521207
143	0.6135365441
144	0.61346684
145	0.6133778517
146	0.6133254482
147	0.6131536243
148	0.6129857083
149	0.6128741997
150	0.6127595082
151	0.6126983397
152	0.6126072242
153	0.612524671
154	0.6123621186
155	0.6122801412
156	0.6122205349
157	0.6120643269
158	0.6119635773
159	0.6118872141
160	0.6118048902
161	0.6116769819
162	0.6115307651
163	0.6114144369
164	0.6112991909
165	0.6112456412
166	0.6111487623
167	0.6110417588
168	0.6109940524
169	0.6108286796
170	0.6107592153
171	0.6106945014
172	0.6105787542
173	0.6105245648
174	0.6104434031
175	0.6103240466
176	0.6101966874
177	0.6101187194
178	0.6099858687
179	0.6099038541
180	0.6098384844
181	0.6097647336
182	0.6096403014
183	0.6095872262
184	0.6095438383
185	0.6093861695
186	0.6093125413
187	0.6092095418
188	0.609075289
189	0.6089773971
190	0.6088778471
191	0.6088088733
192	0.6087217404
193	0.6086594844
194	0.6085552373
195	0.6084362912
196	0.6083368745
197	0.6082702306
198	0.608187075
199	0.6080995209
200	0.6080070831
201	0.6077508453
202	0.6077057461
203	0.6076686494
204	0.607576958
205	0.6075194204
206	0.6074143629
207	0.6073691463
208	0.6072942386
209	0.6072449647
210	0.6071298734
211	0.6070180236
212	0.6068369921
213	0.6067148844
214	0.6065612676
215	0.6064744012
216	0.6063859514
217	0.6063091937
218	0.6061642405
219	0.606040752
220	0.6058812651
221	0.6057973844
222	0.6057061569
223	0.6055458437
224	0.6054900494
225	0.6054205425
226	0.6053014365
227	0.6051819733
228	0.6051504001
229	0.6049870692
230	0.6049465977
231	0.6047802598
232	0.6047039872
233	0.6046285089
234	0.6045562403
235	0.604454707
236	0.6043943436
237	0.6042537463
238	0.6041586961
239	0.6040963014
240	0.6040585916
241	0.603914918
242	0.6038194146
243	0.6037180359
244	0.6036370342
245	0.6035569549
246	0.6034898898
247	0.6033311387
248	0.6031874971
249	0.6031110218
250	0.603024582
251	0.6029080831
252	0.6028613098
253	0.602779615
254	0.6026785082
255	0.6025866569
256	0.6024623527
257	0.6022199342
258	0.6020946436
259	0.6019389794
260	0.6018292729
261	0.6017301707
262	0.6016326041
263	0.6015104218
264	0.6014388409
265	0.6013266925
266	0.6012319942
267	0.6011002259
268	0.6010065992
269	0.600923129
270	0.6008355163
271	0.6007197851
272	0.6005740162
273	0.6005016676
274	0.6004666449
275	0.6002809163
276	0.600169589
277	0.6000951878
278	0.59997943
279	0.5998620514
280	0.599824107
281	0.5997153068
282	0.5996794791
283	0.5996032598
284	0.5994859558
285	0.5994526765
286	0.5994059351
287	0.5993620461
288	0.5992971563
289	0.5991911765
290	0.5991291123
291	0.5990384393
292	0.598957315
293	0.5988425009
294	0.5986715779
295	0.5986131179
296	0.5984780334
297	0.5983815383
298	0.5982774672
299	0.5981609416
300	0.59802317
301	0.5979419071
302	0.5978492241
303	0.5977846328
304	0.5977091653
305	0.5975980032
306	0.5975699168
307	0.5974717263
308	0.5974156868
309	0.5973514421
310	0.5972446039
311	0.5971247622
312	0.5970207497
313	0.5970134668
314	0.5968812667
315	0.5967839399
316	0.5966479703
317	0.5965529361
318	0.5964034618
319	0.5963284634
320	0.5962187356
321	0.5961150856
322	0.5960680191
323	0.5959579446
324	0.5959355736
325	0.5958703692
326	0.5957580342
327	0.5956838463
328	0.5955972252
329	0.5955608323
330	0.5954823364
331	0.5954319323
332	0.5953714303
333	0.5953302817
334	0.5952075609
335	0.5951330583
336	0.5949727291
337	0.5948888591
338	0.5948260432
339	0.5947716991
340	0.5947113517
341	0.5946026102
342	0.5944579502
343	0.594334707
344	0.594234965
345	0.5940973054
346	0.5940117666
347	0.5939270275
348	0.5938170118
349	0.5937575707
350	0.5936677294
351	0.5935574737
352	0.5934286644
353	0.5933101875
354	0.5932679779
355	0.5931695049
356	0.5930467682
357	0.5929788713
358	0.5928663178
359	0.5928446825
360	0.5927600128
361	0.5926612785
362	0.592538835
363	0.5924511689
364	0.5923635508
365	0.5922727498
366	0.5922469773
367	0.5921437006
368	0.5920437827
369	0.5919142909
370	0.5917940546
371	0.5916675005
372	0.5915919103
373	0.5914898332
374	0.5914150161
375	0.5913349314
376	0.5912835516
377	0.59123946
378	0.591157472
