iter	Passed	Remaining
0	199	99484
1	223	55732
2	251	41637
3	271	33683
4	290	28717
5	307	25338
6	326	22988
7	348	21443
8	379	20696
9	404	19843
10	433	19252
11	468	19051
12	503	18865
13	540	18769
14	577	18656
15	608	18395
16	640	18199
17	666	17846
18	692	17530
19	717	17219
20	745	17010
21	769	16726
22	793	16459
23	817	16209
24	842	16001
25	868	15833
26	889	15577
27	915	15432
28	949	15416
29	979	15347
30	1016	15378
31	1053	15414
32	1094	15486
33	1128	15466
34	1154	15340
35	1179	15204
36	1202	15041
37	1229	14942
38	1258	14873
39	1282	14754
40	1308	14649
41	1335	14567
42	1368	14542
43	1401	14523
44	1433	14495
45	1463	14442
46	1491	14379
47	1514	14262
48	1537	14154
49	1560	14046
50	1584	13952
51	1607	13848
52	1636	13798
53	1660	13718
54	1683	13624
55	1707	13539
56	1731	13458
57	1756	13382
58	1776	13280
59	1798	13190
60	1823	13121
61	1846	13044
62	1871	12980
63	1895	12913
64	1923	12873
65	1953	12848
66	1985	12834
67	2015	12802
68	2037	12727
69	2057	12637
70	2081	12577
71	2105	12515
72	2129	12453
73	2155	12408
74	2190	12412
75	2222	12399
76	2249	12356
77	2273	12298
78	2294	12226
79	2317	12164
80	2431	12579
81	2478	12635
82	2504	12581
83	2524	12504
84	2548	12443
85	2571	12378
86	2597	12330
87	2620	12266
88	2646	12220
89	2671	12168
90	2700	12138
91	2739	12151
92	2778	12158
93	2811	12144
94	2849	12146
95	2876	12106
96	2907	12079
97	2948	12096
98	2976	12054
99	3019	12079
100	3069	12127
101	3099	12095
102	3129	12061
103	3151	11998
104	3179	11961
105	3204	11910
106	3227	11854
107	3255	11815
108	3289	11798
109	3314	11750
110	3349	11739
111	3374	11690
112	3397	11635
113	3428	11608
114	3441	11520
115	3463	11465
116	3496	11446
117	3536	11449
118	3562	11406
119	3590	11370
120	3617	11332
121	3641	11281
122	3661	11223
123	3694	11203
124	3726	11179
125	3750	11132
126	3774	11084
127	3796	11034
128	3820	10987
129	3843	10939
130	3868	10897
131	3899	10870
132	3928	10839
133	3952	10795
134	3976	10752
135	3999	10704
136	4021	10655
137	4050	10624
138	4083	10606
139	4108	10565
140	4131	10519
141	4155	10477
142	4191	10465
143	4229	10456
144	4261	10434
145	4286	10392
146	4312	10355
147	4347	10341
148	4370	10296
149	4394	10254
150	4417	10209
151	4441	10169
152	4465	10127
153	4488	10083
154	4516	10053
155	4543	10018
156	4570	9984
157	4598	9953
158	4623	9915
159	4644	9869
160	4666	9824
161	4688	9782
162	4711	9741
163	4733	9697
164	4757	9658
165	4778	9614
166	4800	9572
167	4826	9537
168	4848	9497
169	4874	9461
170	4897	9423
171	4923	9389
172	4947	9351
173	4970	9313
174	4997	9280
175	5028	9257
176	5060	9234
177	5082	9193
178	5106	9157
179	5130	9121
180	5153	9082
181	5178	9048
182	5204	9016
183	5229	8980
184	5248	8935
185	5275	8905
186	5303	8877
187	5335	8855
188	5357	8815
189	5379	8777
190	5405	8744
191	5428	8708
192	5456	8680
193	5485	8652
194	5513	8622
195	5538	8591
196	5564	8557
197	5590	8527
198	5618	8498
199	5643	8465
200	5668	8432
201	5691	8396
202	5714	8360
203	5736	8323
204	5759	8287
205	5780	8249
206	5803	8214
207	5824	8176
208	5848	8142
209	5868	8104
210	5889	8067
211	5911	8031
212	5938	8001
213	5969	7977
214	6001	7955
215	6026	7923
216	6052	7893
217	6085	7872
218	6114	7845
219	6141	7816
220	6175	7796
221	6212	7779
222	6237	7748
223	6263	7717
224	6285	7682
225	6319	7661
226	6342	7627
227	6367	7595
228	6389	7561
229	6411	7526
230	6431	7490
231	6458	7460
232	6482	7428
233	6511	7402
234	6532	7366
235	6561	7340
236	6587	7310
237	6617	7285
238	6647	7259
239	6671	7227
240	6693	7193
241	6717	7161
242	6742	7131
243	6766	7099
244	6787	7064
245	6808	7029
246	6832	6997
247	6860	6970
248	6883	6938
249	6906	6906
250	6933	6878
251	6963	6852
252	6999	6833
253	7026	6804
254	7052	6775
255	7074	6742
256	7098	6711
257	7121	6679
258	7143	6646
259	7168	6616
260	7189	6583
261	7211	6551
262	7234	6518
263	7258	6489
264	7283	6459
265	7305	6426
266	7328	6395
267	7352	6364
268	7374	6333
269	7395	6299
270	7419	6269
271	7443	6239
272	7473	6214
273	7500	6186
274	7522	6154
275	7545	6123
276	7568	6092
277	7589	6060
278	7612	6030
279	7635	5999
280	7659	5969
281	7684	5940
282	7705	5908
283	7727	5877
284	7753	5849
285	7773	5816
286	7794	5784
287	7815	5753
288	7836	5721
289	7859	5691
290	7881	5660
291	7903	5630
292	7930	5603
293	7957	5575
294	7990	5552
295	8016	5524
296	8043	5497
297	8065	5467
298	8087	5436
299	8112	5408
300	8136	5379
301	8168	5355
